"country","iq","pop2021"
"Papua New Guinea","78.4900","9119.0100"
"Indonesia","78.4900","276361.7830"
"Ecuador","78.2600","17888.4750"
"Palestine","77.6900","5222.7480"
"Senegal","77.3700","17196.3010"
"Comoros","77.0700","888.4510"
"Madagascar","76.7900","28427.3280"
"British Virgin Islands","76.6900","30.4210"
"Bolivia","76.5300","11832.9400"
"Uganda","76.4200","47123.5310"
"Saudi Arabia","76.3600","35340.6830"
"Egypt","76.3200","104258.3270"
"India","76.2400","1393409.0380"
"Algeria","76","44616.6240"
"Kenya","75.2000","54985.6980"
"Angola","75.1000","33933.6100"
"Jamaica","75.0800","2973.4630"
"Tanzania","74.9500","61498.4370"
"Syria","74.4100","18275.7020"
"Bangladesh","74.3300","166303.4980"
"Zimbabwe","74.0100","15092.1710"
"Burkina Faso","73.8000","21497.0960"
"Saint Lucia","73.6800","184.4000"
"Mozambique","72.5000","32163.0470"
"Burundi","72.0900","12255.4330"
"Niger","70.8200","25130.8170"
"Saint Kitts and Nevis","70.4800","53.5440"
"Antigua and Barbuda","70.4800","98.7310"
"Rwanda","69.9500","13276.5130"
"Benin","69.7100","12451.0400"
"Malawi","69.7000","19647.6840"
"El Salvador","69.6300","6518.4990"
"Botswana","69.4500","2397.2410"
"Eswatini","68.8700","1172.3620"
"Lesotho","68.8700","2159.0790"
"South Africa","68.8700","60041.9940"
"Eritrea","68.7700","3601.4670"
"Zambia","68.4300","18920.6510"
"Ethiopia","68.4200","117876.2270"
"Djibouti","68.4100","1002.1870"
"Cameroon","67.7600","27224.2650"
"Nigeria","67.7600","211400.7080"
"Somalia","67.6700","16359.5040"
"Morocco","67.0300","37344.7950"
"Namibia","66.1900","2587.3440"
"Dominica","66.0300","72.1670"
"Sao Tome and Principe","65.2200","223.3680"
"DR Congo","64.9200","92377.9930"
"Saint Vincent and the Grenadines","63.4200","111.2630"
"Gabon","62.9700","2278.8250"
"Republic of the Congo","62.9700","5657.0130"
"Yemen","62.8600","30490.6400"
"Belize","62.5500","404.9140"
"Central African Republic","62.5500","4919.9810"
"Honduras","62.1600","10062.9910"
"Togo","59.8300","8478.2500"
"Mauritania","59.7600","4775.1190"
"Mali","59.7600","20855.7350"
"South Sudan","58.6100","11381.3780"
"Ivory Coast","58.1600","27053.6290"
"Ghana","58.1600","31732.1290"
"Guinea","53.4800","13497.2440"
"Nicaragua","52.6900","6702.3850"
"Gambia","52.6800","2486.9450"
"Cape Verde","52.5000","561.8980"
"Guatemala","47.7200","18249.8600"
"Liberia","45.0700","5180.2030"
"Sierra Leone","45.0700","8141.3430"
"Nepal","42.9900","29674.9200"
