"ranking","country","score","pop2021"
"64","Panama","1.9190","4381.5790"
"65","Namibia","1.9270","2587.3440"
"66","Greece","1.9320","10370.7440"
"67","Kazakhstan","1.9360","18994.9620"
"68","Argentina","1.9450","45605.8260"
"69","Eswatini","1.9550","1172.3620"
"70","Madagascar","1.9630","28427.3280"
"71","Zambia","1.9640","18920.6510"
"72","Bosnia and Herzegovina","1.9700","3263.4660"
"73","Oman","1.9820","5223.3750"
"74","Jamaica","1.9920","2973.4630"
"75","Paraguay","1.9970","7219.6380"
"76","Kyrgyzstan","1.9980","6628.3560"
"76","Liberia","1.9980","5180.2030"
"78","Cambodia","2.0080","16946.4380"
"79","Morocco","2.0150","37344.7950"
"80","Angola","2.0170","33933.6100"
"82","Dominican Republic","2.0240","10953.7030"
"83","Rwanda","2.0280","13276.5130"
"84","Trinidad and Tobago","2.0290","1403.3750"
"85","Nepal","2.0330","29674.9200"
"86","Peru","2.0340","33359.4180"
"87","Cuba","2.0420","11317.5050"
"88","Ecuador","2.0440","17888.4750"
"89","Georgia","2.0540","3979.7650"
"90","Uzbekistan","2.0620","33935.7630"
"91","Bangladesh","2.0680","166303.4980"
"92","Guinea","2.0690","13497.2440"
"93","Gabon","2.0740","2278.8250"
"94","Armenia","2.0750","2968.1270"
"95","Sri Lanka","2.0830","21497.3100"
"96","Benin","2.0930","12451.0400"
"97","Tajikistan","2.0950","9749.6270"
"98","Tunisia","2.1080","11935.7660"
"99","Guinea-Bissau","2.1130","2015.4940"
"100","China","2.1140","1444216.1070"
"100","Guyana","2.1140","790.3260"
"102","Bahrain","2.1210","1748.2960"
"103","Mozambique","2.1230","32163.0470"
"103","Ivory Coast","2.1230","27053.6290"
"105","Bolivia","2.1400","11832.9400"
"106","Djibouti","2.1460","1002.1870"
"107","Papua New Guinea","2.1490","9119.0100"
"108","Haiti","2.1510","11541.6850"
"109","Turkmenistan","2.1540","6117.9240"
"110","El Salvador","2.1840","6518.4990"
"111","Guatemala","2.1950","18249.8600"
"112","Lesotho","2.2020","2159.0790"
"113","Thailand","2.2050","69950.8500"
"114","Uganda","2.2190","47123.5310"
"122","United States","2.2370","332915.0730"
"115","Togo","2.2390","8478.2500"
"116","Kenya","2.2540","54985.6980"
"117","Belarus","2.2850","9442.8620"
"118","Mauritania","2.2900","4775.1190"
"119","Republic of the Congo","2.2910","5657.0130"
"120","Algeria","2.3100","44616.6240"
"121","Azerbaijan","2.3340","10223.3420"
"123","South Africa","2.3440","60041.9940"
"124","Honduras","2.3710","10062.9910"
"125","Saudi Arabia","2.3760","35340.6830"
"126","Egypt","2.3970","104258.3270"
"127","Philippines","2.4170","111046.9130"
"128","Brazil","2.4300","213993.4370"
"129","Burundi","2.4340","12255.4330"
"130","Nicaragua","2.4450","6702.3850"
"131","Myanmar","2.4570","54806.0120"
"132","Chad","2.4890","16914.9850"
"133","Zimbabwe","2.4900","15092.1710"
"134","Burkina Faso","2.5270","21497.0960"
"135","India","2.5530","1393409.0380"
"136","Eritrea","2.5550","3601.4670"
"137","Niger","2.5890","25130.8170"
"138","Palestine","2.6100","5222.7480"
"139","Ethiopia","2.6130","117876.2270"
