Entity,Code,Year,Same sex marriage and civil unions legal
Haiti,HTI,2020,Same-sex marriage not legally recognized
Honduras,HND,2020,Same-sex marriage not legally recognized
Hong Kong,HKG,2020,Same-sex marriage not legally recognized
Hungary,HUN,2007,Some rights to same-sex couples
Iceland,ISL,2010,Same-sex marriage legal
India,IND,2020,Same-sex marriage not legally recognized
Indonesia,IDN,2020,Same-sex marriage not legally recognized
Iran,IRN,2020,Same-sex marriage not legally recognized
Iraq,IRQ,2020,Same-sex marriage not legally recognized
Ireland,IRL,2015,Same-sex marriage legal
Isle of Man,IMN,2020,Same-sex marriage not legally recognized
Israel,ISR,2006,Some rights to same-sex couples
Italy,ITA,2016,Some rights to same-sex couples
Jamaica,JAM,2020,Same-sex marriage not legally recognized
Japan,JPN,2020,Same-sex marriage not legally recognized
Jordan,JOR,2020,Same-sex marriage not legally recognized
Kazakhstan,KAZ,2020,Same-sex marriage not legally recognized
Kenya,KEN,2020,Same-sex marriage not legally recognized
Kiribati,KIR,2020,Same-sex marriage not legally recognized
Kosovo,OWID_KOS,2020,Same-sex marriage not legally recognized
Kuwait,KWT,2020,Same-sex marriage not legally recognized
Kyrgyzstan,KGZ,2020,Same-sex marriage not legally recognized
Laos,LAO,2020,Same-sex marriage not legally recognized
Latvia,LVA,2020,Same-sex marriage not legally recognized
Lebanon,LBN,2020,Same-sex marriage not legally recognized
Lesotho,LSO,2020,Same-sex marriage not legally recognized
Liberia,LBR,2020,Same-sex marriage not legally recognized
Libya,LBY,2020,Same-sex marriage not legally recognized
Liechtenstein,LIE,2011,Some rights to same-sex couples
Lithuania,LTU,2020,Same-sex marriage not legally recognized
Luxembourg,LUX,2014,Same-sex marriage legal
Macao,MAC,2020,Same-sex marriage not legally recognized
Madagascar,MDG,2020,Same-sex marriage not legally recognized
Malawi,MWI,2020,Same-sex marriage not legally recognized
Malaysia,MYS,2020,Same-sex marriage not legally recognized
Maldives,MDV,2020,Same-sex marriage not legally recognized
Mali,MLI,2020,Same-sex marriage not legally recognized
Malta,MLT,2017,Same-sex marriage legal
Marshall Islands,MHL,2020,Same-sex marriage not legally recognized
Mauritania,MRT,2020,Same-sex marriage not legally recognized
Mauritius,MUS,2020,Same-sex marriage not legally recognized
Mexico,MEX,2009,Same-sex marriage legal in some jurisdictions
Micronesia (country),FSM,2020,Same-sex marriage not legally recognized
Moldova,MDA,2020,Same-sex marriage not legally recognized
Monaco,MCO,2020,Same-sex marriage not legally recognized
Mongolia,MNG,2020,Same-sex marriage not legally recognized
Montenegro,MNE,2020,Same-sex marriage not legally recognized
Morocco,MAR,2020,Same-sex marriage not legally recognized
Mozambique,MOZ,2020,Same-sex marriage not legally recognized
Myanmar,MMR,2020,Same-sex marriage not legally recognized
Namibia,NAM,2020,Same-sex marriage not legally recognized
Nauru,NRU,2020,Same-sex marriage not legally recognized
Nepal,NPL,2020,Same-sex marriage not legally recognized
Netherlands,NLD,2000,Same-sex marriage legal
New Caledonia,NCL,2020,Same-sex marriage not legally recognized
New Zealand,NZL,2013,Same-sex marriage legal
Nicaragua,NIC,2020,Same-sex marriage not legally recognized
Niger,NER,2020,Same-sex marriage not legally recognized
Nigeria,NGA,2020,Same-sex marriage not legally recognized
North Korea,PRK,2020,Same-sex marriage not legally recognized
North Macedonia,MKD,2020,Same-sex marriage not legally recognized
Northern Ireland,,2019,Same-sex marriage legal
Northern Mariana Islands,MNP,2020,Same-sex marriage not legally recognized
Norway,NOR,2008,Same-sex marriage legal
Oman,OMN,2020,Same-sex marriage not legally recognized
Pakistan,PAK,2020,Same-sex marriage not legally recognized
Palau,PLW,2020,Same-sex marriage not legally recognized
Palestine,PSE,2020,Same-sex marriage not legally recognized
Panama,PAN,2020,Same-sex marriage not legally recognized
Papua New Guinea,PNG,2020,Same-sex marriage not legally recognized
Paraguay,PRY,2020,Same-sex marriage not legally recognized
Peru,PER,2020,Same-sex marriage not legally recognized
Philippines,PHL,2020,Same-sex marriage not legally recognized
Poland,POL,2020,Same-sex marriage not legally recognized
Portugal,PRT,2010,Same-sex marriage legal
Puerto Rico,PRI,2020,Same-sex marriage not legally recognized
Qatar,QAT,2020,Same-sex marriage not legally recognized
Romania,ROU,2020,Same-sex marriage not legally recognized
Russia,RUS,2020,Same-sex marriage not legally recognized
Rwanda,RWA,2020,Same-sex marriage not legally recognized
Saint Kitts and Nevis,KNA,2020,Same-sex marriage not legally recognized
Saint Lucia,LCA,2020,Same-sex marriage not legally recognized
Saint Martin (French part),MAF,2020,Same-sex marriage not legally recognized
Saint Vincent and the Grenadines,VCT,2020,Same-sex marriage not legally recognized
Samoa,WSM,2020,Same-sex marriage not legally recognized
San Marino,SMR,2020,Same-sex marriage not legally recognized
Sao Tome and Principe,STP,2020,Same-sex marriage not legally recognized
Saudi Arabia,SAU,2020,Same-sex marriage not legally recognized
Scotland,,2014,Same-sex marriage legal
Senegal,SEN,2020,Same-sex marriage not legally recognized
Serbia,SRB,2020,Same-sex marriage not legally recognized
Seychelles,SYC,2020,Same-sex marriage not legally recognized
Sierra Leone,SLE,2020,Same-sex marriage not legally recognized
Singapore,SGP,2020,Same-sex marriage not legally recognized
Sint Maarten (Dutch part),SXM,2020,Same-sex marriage not legally recognized
Slovakia,SVK,2020,Same-sex marriage not legally recognized
Slovenia,SVN,2006,Some rights to same-sex couples
Solomon Islands,SLB,2020,Same-sex marriage not legally recognized
Somalia,SOM,2020,Same-sex marriage not legally recognized
South Africa,ZAF,2006,Same-sex marriage legal
South Korea,KOR,2020,Same-sex marriage not legally recognized
South Sudan,SSD,2020,Same-sex marriage not legally recognized
Spain,ESP,2005,Same-sex marriage legal
Sri Lanka,LKA,2020,Same-sex marriage not legally recognized
Sudan,SDN,2020,Same-sex marriage not legally recognized
Suriname,SUR,2020,Same-sex marriage not legally recognized
Sweden,SWE,2009,Same-sex marriage legal
Switzerland,CHE,2007,Some rights to same-sex couples
Syria,SYR,2020,Same-sex marriage not legally recognized
Taiwan,TWN,2019,Same-sex marriage legal
Tajikistan,TJK,2020,Same-sex marriage not legally recognized
Tanzania,TZA,2020,Same-sex marriage not legally recognized
Thailand,THA,2020,Same-sex marriage not legally recognized
Timor,TLS,2020,Same-sex marriage not legally recognized
Togo,TGO,2020,Same-sex marriage not legally recognized
Tonga,TON,2020,Same-sex marriage not legally recognized
Trinidad and Tobago,TTO,2020,Same-sex marriage not legally recognized
Tunisia,TUN,2020,Same-sex marriage not legally recognized
Turkey,TUR,2020,Same-sex marriage not legally recognized
Turkmenistan,TKM,2020,Same-sex marriage not legally recognized
Turks and Caicos Islands,TCA,2020,Same-sex marriage not legally recognized
Tuvalu,TUV,2020,Same-sex marriage not legally recognized
Uganda,UGA,2020,Same-sex marriage not legally recognized
Ukraine,UKR,2020,Same-sex marriage not legally recognized
United Arab Emirates,ARE,2020,Same-sex marriage not legally recognized
United Kingdom,GBR,2013,Same-sex marriage legal
United States,USA,2015,Same-sex marriage legal
United States Virgin Islands,VIR,2020,Same-sex marriage not legally recognized
Uruguay,URY,2013,Same-sex marriage legal
Uzbekistan,UZB,2020,Same-sex marriage not legally recognized
Vanuatu,VUT,2020,Same-sex marriage not legally recognized
Venezuela,VEN,2020,Same-sex marriage not legally recognized
Vietnam,VNM,2020,Same-sex marriage not legally recognized
West Bank,,2020,Same-sex marriage not legally recognized
Western Sahara,ESH,2020,Same-sex marriage not legally recognized
Yemen,YEM,2020,Same-sex marriage not legally recognized
Zambia,ZMB,2020,Same-sex marriage not legally recognized
Zimbabwe,ZWE,2020,Same-sex marriage not legally recognized
